"","Prolific_ID","trial_type_label","test_part","skew","rt_trial","P_A1","O_A1","P_A2","O_A2","P_B1","O_B1","P_B2","O_B2","EVD","SDD","category","true_response"
"158","5c8123c4366cb20001280842","test","cc","ns",7736,0.62,47,0.38,155,0.44,121,0.56,26,20.24,5.26497609512484,"complex vs. complex","f"
"159","5c8123c4366cb20001280842","test","cc","lr",8020,0.18,10,0.82,49,0.19,52,0.81,27,10.23,5.17578809262635,"complex vs. complex","f"
"160","5c8123c4366cb20001280842","test","ss","ns",9564,0.62,78,0.38,14,0.34,38,0.66,92,-19.96,5.48445876492334,"simple vs. simple","j"
"161","5c8123c4366cb20001280842","test","ss","ns",9701,0.44,89,0.56,41,0.54,60,0.46,43,9.94,15.353817060126,"simple vs. simple","f"
"162","5c8123c4366cb20001280842","test","ss","ns",8520,0.37,119,0.63,16,0.45,87,0.55,8,10.56,10.4268399771305,"simple vs. simple","j"
"163","5c8123c4366cb20001280842","test","ss","lr",6659,0.12,2,0.88,77,0.17,69,0.83,43,20.58,14.6056624289915,"simple vs. simple","j"
"164","5c8123c4366cb20001280842","test","cc","lr",7631,0.81,134,0.19,48,0.13,189,0.87,118,-9.56999999999998,9.86033397946848,"complex vs. complex","j"
"165","5c8123c4366cb20001280842","test","ss","lr",6014,0.81,134,0.19,48,0.13,189,0.87,118,-9.56999999999998,9.86033397946848,"simple vs. simple","j"
"166","5c8123c4366cb20001280842","test","cc","rl",5312,0.82,89,0.18,195,0.12,46,0.88,127,-9.20000000000002,14.4019857190524,"complex vs. complex","f"
"167","5c8123c4366cb20001280842","test","cc","lr",8228,0.91,52,0.09,18,0.14,62,0.86,47,-0.160000000000004,4.5253743825836,"complex vs. complex","j"
"168","5c8123c4366cb20001280842","test","ss","rl",3829,0.18,167,0.82,99,0.19,59,0.81,111,10.12,5.72509983295567,"simple vs. simple","f"
"169","5c8123c4366cb20001280842","test","ss","lr",5681,0.83,60,0.17,9,0.96,58,0.04,130,-9.55,5.0482118519817,"simple vs. simple","j"
